community	fun
1	0.0017625
1,2,3	0.11505
1,2,3,4	0.133
1,2,3,4,5	0.15755
1,2,3,4,5,6,7	0.22115
1,2,3,4,5,6,7,8	0.21345
1,2,3,4,5,6,8	0.14045
1,2,3,4,5,7	0.2273
1,2,3,4,5,7,8	0.22215
1,2,3,4,5,8	0.14265
1,2,3,4,6	0.14265
1,2,3,4,6,7	0.24185
1,2,3,4,6,7,8	0.26105
1,2,3,4,6,8	0.14505
1,2,3,4,7,8	0.28205
1,2,3,4,8	0.16325
1,2,3,5	0.13435
1,2,3,5,6,7	0.2187
1,2,3,5,6,7,8	0.20375
1,2,3,5,6,8	0.14585
1,2,3,5,7	0.22465
1,2,3,5,7,8	0.22575
1,2,3,6	0.1321
1,2,3,6,7	0.25525
1,2,3,6,8	0.16435
1,2,3,7	0.280683333333333
1,2,3,7,8	0.2559
1,2,3,8	0.1743
1,2,4	0.19675
1,2,4,5	0.18445
1,2,4,5,6	0.139583333333333
1,2,4,5,6,7,8	0.21575
1,2,4,5,6,8	0.16645
1,2,4,5,7	0.27395
1,2,4,6	0.1175
1,2,4,6,7	0.23845
1,2,4,6,8	0.159416666666667
1,2,4,7	0.2773
1,2,4,7,8	0.27635
1,2,4,8	0.2246
1,2,5	0.15895
1,2,5,6	0.13735
1,2,5,6,7	0.215883333333333
1,2,5,6,7,8	0.23915
1,2,5,6,8	0.12685
1,2,5,7	0.2532
1,2,5,7,8	0.21555
1,2,5,8	0.17095
1,2,6	0.17295
1,2,6,7	0.259116666666667
1,2,6,7,8	0.236216666666667
1,2,6,8	0.17825
1,2,7	0.2961
1,2,7,8	0.28785
1,3	0.00495
1,3,4	0.10635
1,3,4,5	0.13875
1,3,4,5,6	0.14195
1,3,4,5,6,7	0.26405
1,3,4,5,6,7,8	0.21455
1,3,4,5,6,8	0.1401
1,3,4,5,7	0.26325
1,3,4,5,7,8	0.22005
1,3,4,5,8	0.14835
1,3,4,6	0.09905
1,3,4,7	0.2691
1,3,4,8	0.15315
1,3,5,6,7	0.24375
1,3,5,6,7,8	0.237
1,3,5,6,8	0.10845
1,3,5,7	0.25255
1,3,5,7,8	0.2648
1,3,5,8	0.11545
1,3,6	0.0537833333333333
1,3,6,7	0.26505
1,3,6,8	0.10245
1,3,7	0.2692
1,4	0.13555
1,4,5	0.16315
1,4,5,6	0.1406
1,4,5,6,7	0.257416666666667
1,4,5,6,7,8	0.27315
1,4,5,6,8	0.1463
1,4,5,7	0.27195
1,4,5,7,8	0.25625
1,4,5,8	0.15755
1,4,6	0.101216666666667
1,4,6,7	0.27915
1,4,6,7,8	0.27545
1,4,6,8	0.13485
1,4,7	0.3029
1,4,7,8	0.31335
1,4,8	0.194316666666667
1,5	0.13855
1,5,6	0.13045
1,5,6,7	0.2251
1,5,6,7,8	0.23835
1,5,6,8	0.12275
