community	fun
1	0.004246875
1,2,3	0.1632
1,2,3,4	0.0953
1,2,3,4,5	0.1104
1,2,3,4,5,7	0.1473
1,2,3,4,6	0.15245
1,2,3,5	0.1231
1,2,3,6	0.1738
1,2,3,6,7	0.1448
1,2,3,6,8	0.195
1,2,3,7	0.180833333333333
1,2,3,7,8	0.1646
1,2,3,8	0.1659
1,2,4,5	0.1302
1,2,4,5,6	0.09075
1,2,4,5,7	0.1582
1,2,4,6	0.1347
1,2,4,6,7	0.149633333333333
1,2,4,6,8	0.1252
1,2,4,7	0.1677
1,2,4,7,8	0.1741
1,2,4,8	0.1659
1,2,5	0.112
1,2,5,6	0.1151
1,2,5,6,7	0.1272
1,2,5,6,8	0.0833
1,2,5,7	0.16765
1,2,5,7,8	0.1207
1,2,5,8	0.1314
1,2,6	0.1737
1,2,6,7	0.158433333333333
1,2,6,7,8	0.163233333333333
1,2,6,8	0.109366666666667
1,2,7	0.1823
1,2,7,8	0.1726
1,3	0.0055
1,3,4,5,6,7	0.13
1,3,4,5,7	0.11865
1,3,4,5,7,8	0.1197
1,3,4,7	0.1506
1,3,4,8	0.0935
1,3,5,6,7	0.1348
1,3,5,7	0.1288
1,3,5,7,8	0.1305
1,3,5,8	0.074
1,3,6	0.0032
1,3,6,7	0.2037
1,3,6,8	0.111
1,3,7	0.15415
1,4,5,6,7	0.1222
1,4,5,7	0.11805
1,4,5,7,8	0.1134
1,4,5,8	0.0892
1,4,6	0.0647
1,4,6,7	0.1439
1,4,6,8	0.08795
1,4,7	0.1571
1,4,7,8	0.2096
1,4,8	0.08985
1,5	0.0705
1,5,6	0.0729
1,5,6,7	0.1307
1,5,6,7,8	0.2326
1,5,6,8	0.0733
1,5,7	0.11175
1,5,7,8	0.1307
1,5,8	0.0709
1,6	0.0026
1,6,7	0.17555
1,6,7,8	0.2033
1,6,8	0.0832
1,7	0.182033333333333
1,7,8	0.16475
1,8	0.0818
2	0.3199
2,3	0.1844
2,3,4,5	0.1243
2,3,4,5,6	0.1298
2,3,4,5,7	0.2038
2,3,4,5,8	0.1262
2,3,4,6	0.0993
2,3,4,7	0.1738
2,3,4,7,8	0.20105
2,3,4,8	0.1577
2,3,5,6	0.0896
2,3,5,6,7	0.1493
2,3,5,7	0.14305
2,3,5,7,8	0.1544
2,3,5,8	0.1603
2,3,6	0.1736
2,3,6,7	0.1751
2,3,6,7,8	0.1624
2,3,6,8	0.17695
2,3,7	0.17905
2,3,7,8	0.17995
2,4,5,7	0.2644
2,4,5,7,8	0.2251
2,4,5,8	0.17
2,4,6,7,8	0.1848
2,4,6,8	0.1466
2,4,7,8	0.33065
2,4,8	0.28065
2,5	0.2123
2,5,6,8	0.0973
2,5,7	0.2551
2,5,7,8	0.2771
2,5,8	0.2206
2,6,7	0.1711
2,6,7,8	0.3302
2,6,8	0.1734
2,7	0.2781
2,7,8	0.2909
2,8	0.2959
3	0.000721212121212118
3,4	0.0614
3,4,5,6,7	0.1225
3,4,5,7	0.146766666666667
3,4,5,7,8	0.1553
3,4,5,8	0.1024
3,4,6	0.0692
3,4,6,7	0.1681
3,4,7	0.164525
3,4,7,8	0.1767
3,4,8	0.0764
3,5	0.1093
3,5,6	0.06975
3,5,6,7	0.1351
3,5,6,7,8	0.149733333333333
3,5,6,8	0.0721
3,5,7	0.13238
3,5,7,8	0.1967
3,5,8	0.07335
3,6	0.00933333333333333
3,6,7	0.23785
3,6,8	0.06735
3,7	0.232033333333333
3,7,8	0.2013
3,8	0.08375
4	0.182040625
4,5	0.1996
4,5,6,7	0.1242
4,5,7	0.2365
4,5,7,8	0.23775
4,5,8	0.184
4,6,7	0.1602
4,6,8	0.0869
4,7	0.28765
4,7,8	0.32465
4,8	0.2663
5	0.163848484848485
5,6	0.0715
5,6,7	0.1208
5,6,7,8	0.1456
5,6,8	0.0788
5,7	0.310825
5,7,8	0.281875
5,8	0.1656
6	0.010734375
6,7	0.222166666666667
6,7,8	0.1827
6,8	0.0797
7	0.441617647058824
7,8	0.35185
8	0.224445454545455
