sp_1,sp_2,sp_3,sp_4,sp_5,sp_6,sp_7,sp_8,function.rep1,function.rep2,function.rep3
0,1,1,1,1,1,0,0,21.85832,29.26792,26.3125
1,0,0,0,0,0,0,0,0.71517375,0.359955,0.296805
1,0,0,0,0,0,0,1,13.77512,23.77808,28.5859
1,0,0,0,0,0,1,0,30.6544133333333,51.0027466666667,52.5829
1,0,0,0,0,0,1,1,27.7439,50.02322,49.69484
1,0,0,0,0,1,0,0,0.43784,0.69044,0.85042
1,0,0,0,0,1,0,1,14.01088,20.81424,22.27932
1,0,0,0,0,1,1,0,29.56262,47.77508,49.37067
1,0,0,0,0,1,1,1,34.23572,49.7622,49.09702
1,0,0,0,1,0,0,0,11.8722,25.69784,23.33182
1,0,0,0,1,0,0,1,11.93956,22.5656,21.86674
1,0,0,0,1,0,1,0,18.8187,34.95984,34.8167
1,0,0,0,1,0,1,1,22.00988,45.70376,49.85482
1,0,0,0,1,1,0,0,12.27636,26.102,21.96778
1,0,0,0,1,1,0,1,12.34372,23.997,20.6711
1,0,0,0,1,1,1,0,22.00988,36.35756,37.90684
1,0,0,0,1,1,1,1,39.16984,41.07276,40.13814
1,0,0,1,0,0,0,1,15.13074,34.2244933333333,32.7229266666667
1,0,0,1,0,0,1,0,26.45564,45.77112,51.00836
1,0,0,1,0,0,1,1,35.29664,54.66264,52.76814
1,0,0,1,0,1,0,0,10.89548,15.9250266666667,17.0448866666667
1,0,0,1,0,1,0,1,14.81078,24.15698,22.70874
1,0,0,1,0,1,1,0,24.23276,38.1426,47.00886
1,0,0,1,1,0,0,1,15.02128,33.44424,26.53142
1,0,0,1,1,0,1,0,19.87962,39.97816,45.79638
1,0,0,1,1,0,1,1,19.09656,42.70624,43.1525
1,0,0,1,1,1,1,0,20.57848,38.78252,43.3489666666667
1,0,1,0,0,0,0,0,0.9262,0.80832,0.83358
1,0,1,0,0,0,1,0,25.95886,35.61239,45.33328
1,0,1,0,0,1,0,0,0.53888,0.63992,9.05711333333328
1,0,1,0,0,1,0,1,18.6924,14.41504,17.25258
1,0,1,0,0,1,1,0,34.30308,44.74388,44.63442
1,0,1,0,1,0,0,1,12.4616,19.92172,19.44178
1,0,1,0,1,0,1,0,21.68992,35.58292,42.52942
1,0,1,0,1,0,1,1,21.9762,33.99996,44.59232
1,0,1,0,1,1,1,0,22.70032,36.02076,41.0475
1,0,1,1,0,0,0,1,15.7454,29.35212,25.79046
1,0,1,1,0,0,1,0,25.36104,43.37142,45.31644
1,0,1,1,1,0,1,0,19.98066,38.3390666666667,44.3313
1,0,1,1,1,0,1,1,20.15748,39.16984,37.05642
1,0,1,1,1,1,1,0,21.892,37.9742,44.46602
1,1,0,0,0,0,1,0,30.69932,45.72902,49.86324
1,1,0,0,0,0,1,1,29.06584,44.9628,48.47394
1,1,0,0,0,1,0,0,29.25108,35.75132,29.12478
1,1,0,0,0,1,0,1,18.4173466666667,35.39768,30.0173
1,1,0,0,0,1,1,0,26.6801733333333,43.1721466666667,43.6352466666667
1,1,0,0,0,1,1,1,27.4884933333333,46.2033466666667,39.7788866666667
1,1,0,0,1,0,0,0,18.8608,38.27732,26.76718
1,1,0,0,1,0,0,1,22.12776,41.14012,28.78798
1,1,0,0,1,0,1,0,28.23226,45.50168,42.63888
1,1,0,0,1,0,1,1,20.32588,43.0262,36.29862
1,1,0,0,1,1,0,0,19.38284,34.03364,23.12974
1,1,0,0,1,1,0,1,14.02772,24.9232,21.36154
1,1,0,0,1,1,1,0,21.42048,34.20204,36.3547533333333
1,1,0,1,0,0,0,1,27.93756,43.45562,37.82264
1,1,0,1,0,0,1,0,28.24068,44.7102,46.69732
1,1,0,1,0,0,1,1,29.31844,45.19014,46.53734
1,1,0,1,0,1,0,0,22.68348,33.4274,19.787
1,1,0,1,0,1,0,1,21.08368,31.4851866666667,26.8457666666667
1,1,0,1,0,1,1,0,25.1982533333333,43.46404,40.15498
1,1,0,1,1,0,0,0,21.92568,39.00144,31.06138
1,1,0,1,1,0,1,0,26.64088,38.9004,46.13318
1,1,0,1,1,1,0,0,15.2823,32.6134666666667,23.5058333333333
1,1,1,0,0,0,0,0,27.48288,32.01284,19.37442
1,1,1,0,0,0,0,1,27.93756,37.048,29.35212
1,1,1,0,0,0,1,0,30.4523333333333,43.2563466666667,47.2670733333333
1,1,1,0,0,0,1,1,27.71864,42.55468,43.09356
1,1,1,0,0,1,0,0,29.26792,26.61562,22.24564
1,1,1,0,0,1,0,1,32.838,30.51408,27.67654
1,1,1,0,0,1,1,0,24.38432,39.27088,42.9841
1,1,1,0,1,0,0,0,20.73004,30.13518,22.62454
1,1,1,1,0,0,0,0,16.04852,28.00492,22.3972
1,1,1,1,0,1,0,0,25.67258,33.02324,24.02226
1,1,1,1,1,0,0,0,18.59136,29.891,26.53142
1,1,1,1,1,0,1,0,24.80532,35.45662,38.27732
0,0,0,0,0,0,0,0,0,0,0
