mean_coeff	sd_coeff	sd_scale	rs	R2_stitching	R2.identity_stitching	relError.mean_topbot10_stitching	relError.sd_topbot10_stitching	R2_topbot10_stitching	R2.identity_topbot10_stitching	R2_reg1	R2.identity_reg1	relError.mean_topbot10_reg1	relError.sd_topbot10_reg1	R2_topbot10_reg1	R2.identity_topbot10_reg1	R2_reg2	R2.identity_reg2	relError.mean_topbot10_reg2	relError.sd_topbot10_reg2	R2_topbot10_reg2	R2.identity_topbot10_reg2
1	0.5	0.671307657286512	0.349093820397115	0.975729294381908	0.973897930402645	0.0630162398305697	0.0627786712592092	0.995198923432946	0.994461572648428	0.948489833352662	0.943719759890686	0.160918084412531	0.104867900868154	0.976618048468341	0.955286315177024	0.998826782010901	0.998706893771286	0.0216964570283019	0.0160108146472179	0.999545285254325	0.999220525973906
-1	0.7	0.671307657286512	0.252936218365473	0.991451576639836	0.991057432827889	0.0442457617343081	0.0387852637417077	0.99779969204512	0.997419591351505	0.974491150725793	0.972288795937104	0.121958092458585	0.0772290561372778	0.985491549260215	0.976801254318171	0.998828527215673	0.998665864285676	0.027773529818137	0.0210445583381328	0.999333555922203	0.998875233038452
-0.5	0.7	0.671307657286512	0.264389547506313	0.990265257265601	0.989819300227397	0.0446489792983458	0.036722987923325	0.9980663977374	0.997347857780114	0.969575066879651	0.967954737385201	0.108527224687181	0.0667750978929799	0.989453803156825	0.983186051879813	0.998857873476048	0.99876032552205	0.0261880177284429	0.0169889479785164	0.999517300757145	0.999082384905068
0	0.7	0.671307657286512	0.605032837007696	0.966236993637231	0.959861367669305	0.116776477370588	0.0826426577572927	0.992130284380214	0.982472630942425	0.867059291325328	0.858446986826201	0.230863137863421	0.154700873698986	0.959438522360034	0.921092537720312	0.998955405430453	0.998779102037614	0.0247526392291406	0.0197823994054549	0.999543766065256	0.999141117985367
0.5	0.7	0.671307657286512	0.414626046552096	0.965295041427423	0.962265982092181	0.082827838110179	0.0678391561176416	0.991778411691888	0.990912872150731	0.943045872539214	0.938763591965655	0.152373028929622	0.10766238035258	0.976670732933187	0.960834921356421	0.998705888457337	0.998624497757949	0.0200861127222017	0.0125155918988177	0.999539442404926	0.999395992274557
1	0.7	0.671307657286512	0.281253557428519	0.989140462497888	0.988454102079131	0.047142900388802	0.03308802882725	0.997611426551668	0.997331308331235	0.972942961025977	0.970674670879623	0.118757302282649	0.0818743358347501	0.986221000301484	0.974946408507446	0.998995485265035	0.998862089022295	0.0241939329719144	0.0167282871509385	0.999475285118358	0.999150808998871
-1	0.9	0.671307657286512	0.334051237987892	0.985141034902274	0.983997087307413	0.0529915535900643	0.0484766171124782	0.997061541962311	0.995440783927117	0.967052200619954	0.965109908822302	0.124253322564335	0.0707258443995989	0.988279883009659	0.975173776686372	0.998873230425638	0.998796739206481	0.0222074948753448	0.0154382927236806	0.999604644005157	0.999285406975508
-0.5	0.9	0.671307657286512	0.447641493728823	0.958417810966899	0.955061730310743	0.0958902393041631	0.0686002949683806	0.989438613077134	0.987866836423317	0.931792989347065	0.928454216348335	0.138073924910994	0.102622117206036	0.98505620375667	0.972303769871711	0.998801702960842	0.998698884104157	0.0141671053750171	0.0143967373699792	0.999714062343724	0.999583736804829
0	0.9	0.671307657286512	0.301605258032124	0.989121062067229	0.988715765757297	0.0469697525788821	0.0347318206409101	0.996989702902929	0.996673939698379	0.974689326598352	0.973964551628938	0.0859803968543379	0.059635589979744	0.991406718379276	0.988116200717348	0.998863456771076	0.998798689532848	0.0169434722559304	0.0126368451337596	0.99963459094454	0.999515363641471
0.5	0.9	0.671307657286512	0.384248236973934	0.984806446551856	0.983303368773123	0.0585643398398163	0.0467172604645031	0.996892257047958	0.995129325640233	0.940064820245062	0.937135961331703	0.161852239592267	0.100916137826209	0.980403618937697	0.963304286075171	0.998921873854516	0.99878735277981	0.023733298768112	0.016741505860699	0.999505710478354	0.999159069118585
