mean_coeff	sd_coeff	sd_scale	rs	R2_stitching	R2.identity_stitching	relError.mean_topbot10_stitching	relError.sd_topbot10_stitching	R2_topbot10_stitching	R2.identity_topbot10_stitching	R2_reg1	R2.identity_reg1	relError.mean_topbot10_reg1	relError.sd_topbot10_reg1	R2_topbot10_reg1	R2.identity_topbot10_reg1	R2_reg2	R2.identity_reg2	relError.mean_topbot10_reg2	relError.sd_topbot10_reg2	R2_topbot10_reg2	R2.identity_topbot10_reg2
-1	0.1	0.4	0.00485769147653102	0.999999950667674	0.999999948235454	NA	NA	NA	NA	0.999968484475782	0.999124763436548	NA	NA	NA	NA	0.999288704565668	0.998048472103562	NA	NA	NA	NA
-0.666666666666667	0.1	0.4	0.0054373244230157	0.999999861278974	0.999999859782004	NA	NA	NA	NA	0.999942253586645	0.999035319590015	NA	NA	NA	NA	0.99941659885473	0.998016211044709	NA	NA	NA	NA
-0.333333333333333	0.1	0.4	0.00531189396126631	0.999999505830517	0.999999491939796	NA	NA	NA	NA	0.999851852182919	0.998847201648871	NA	NA	NA	NA	0.999453120317251	0.99882300658238	NA	NA	NA	NA
0	0.1	0.4	0.0114411117629631	0.999991629413981	0.999991275625227	NA	NA	NA	NA	0.999681573941703	0.998920540004492	NA	NA	NA	NA	0.999648940863418	0.999025697349068	NA	NA	NA	NA
0.333333333333333	0.1	0.4	0.00543051314909913	0.999999501624739	0.999999491483147	NA	NA	NA	NA	0.999916441074687	0.999103205685521	NA	NA	NA	NA	0.999148056112674	0.998390299114014	NA	NA	NA	NA
0.666666666666667	0.1	0.4	0.00497901935688788	0.99999978409023	0.999999781997833	NA	NA	NA	NA	0.999949222673352	0.998972624018708	NA	NA	NA	NA	0.999272336527036	0.998474019124804	NA	NA	NA	NA
1	0.1	0.4	0.00518671027115503	0.999999871897592	0.999999864818262	NA	NA	NA	NA	0.999969069953146	0.99905625226668	NA	NA	NA	NA	0.999469220485656	0.998344947381665	NA	NA	NA	NA
-1	0.233333333333333	0.4	0.00524937923973277	0.999999648070897	0.999999646396273	NA	NA	NA	NA	0.999966587351267	0.999141399774581	NA	NA	NA	NA	0.999604192306117	0.998737986532386	NA	NA	NA	NA
-0.666666666666667	0.233333333333333	0.4	0.0052753533076896	0.999999427606316	0.999999335641423	NA	NA	NA	NA	0.999876439345732	0.99913069831045	NA	NA	NA	NA	0.999273644698659	0.99826634376482	NA	NA	NA	NA
-0.333333333333333	0.233333333333333	0.4	0.00520136974858205	0.999998839634414	0.999998837746475	NA	NA	NA	NA	0.999778617288172	0.998994783192965	NA	NA	NA	NA	0.998740088274904	0.997508697792527	NA	NA	NA	NA
