mean_coeff	sd_coeff	sd_scale	rs	R2_stitching	R2.identity_stitching	relError.mean_topbot10_stitching	relError.sd_topbot10_stitching	R2_topbot10_stitching	R2.identity_topbot10_stitching	R2_reg1	R2.identity_reg1	relError.mean_topbot10_reg1	relError.sd_topbot10_reg1	R2_topbot10_reg1	R2.identity_topbot10_reg1	R2_reg2	R2.identity_reg2	relError.mean_topbot10_reg2	relError.sd_topbot10_reg2	R2_topbot10_reg2	R2.identity_topbot10_reg2
-1	0.1	0.4	1.59351561132924	0.353377326533812	-5.42979257432232	0.902598532584981	2.2386062866631	0.441860342597112	-6.14472170007677	0.382516034410694	0.335253025801006	0.114853738644071	0.152842617344564	0.366203738051057	0.277639424679943	0.414615334161238	0.35937173566516	0.132623361831379	0.163334637682191	0.398376535577124	0.306580385637684
-0.333333333333333	0.1	0.4	1.58321562531278	0.51447697267519	-0.680979000749733	0.712087697813127	1.20050366649157	0.596085241812647	-0.787164774653762	0	-0.0383159415293832	0.999734930394812	0.111014412544069	0	-0.0115125090996766	0	-0.0383159415293832	0.999734930394812	0.111014412544069	0	-0.0115125090996766
0.333333333333333	0.1	0.4	1.91607862983909	0.254693914871715	0.228425400098383	0.33255777185713	0.178988622056377	0.290052601342627	0.184029276109	0.324000208896489	0.25607534261257	0.326103695503657	0.186339525663272	0.351522785916959	0.209691045964171	0.359126179224082	0.280640917616034	0.339045271200311	0.190571446340725	0.395977416618911	0.242449468984389
1	0.1	0.4	1.66445477491596	0.342437654512536	0.310690307082172	0.103340385976465	0.159315510582394	0.335961621024171	0.256308353175143	0.367745000730685	0.325205905759517	0.108614591747816	0.157557029002768	0.354444062817474	0.265388234559714	0.395729821568659	0.345549438656692	0.141546864919635	0.151393671961787	0.383600469373264	0.288661634139393
-1	0.366666666666667	0.4	1.46929376197154	0.375342167252658	0.353971201448663	0.34932885470603	0.205122645567062	0.428761284882504	0.299960538516739	0.456238976882106	0.4157481258882	0.247909886952897	0.176930550822518	0.467748607729201	0.365596868736404	0.49363652399562	0.425378796062648	0.328080910482922	0.207349920702161	0.513378065041078	0.380178116354028
-0.333333333333333	0.366666666666667	0.4	2.44226206842068	0.113057500161408	0.0989577159817971	0.80751445556962	0.368515085392769	0.194163309651817	0.144208729650438	0.0816157995270089	0.0241156094071778	0.965668813509727	0.0616580009304983	0.181642245654967	0.00831317291728828	0.156296737299534	0.0820778191937437	0.923640072615141	0.101353250465597	0.329718074874614	0.0627229606056936
0.333333333333333	0.366666666666667	0.4	1.98185950615056	0.238828895178282	0.219176987086569	0.690120056541755	0.273658170028157	0.316486014651122	0.207609789288315	0	-0.0690096737271608	0.99457789068422	0.102407941091339	0	-0.0136484450589236	0	-0.0690096737271608	0.99457789068422	0.102407941091339	0	-0.0136484450589236
1	0.366666666666667	0.4	1.84642816665498	0.65902194371345	-0.0758707899707964	0.650999780428866	0.726488966598362	0.777276840727625	0.0430380377325881	0.316942516125541	0.254132146919505	0.413486801273915	0.219335241900637	0.382434902389762	0.217004795353797	0.351774006653158	0.274878068203092	0.465751490420057	0.177892531297967	0.458640979245219	0.249439693446487
-1	0.633333333333333	0.4	1.97978912009281	0.204234664765071	0.203135886749566	0.571982146497504	0.370262429946278	0.261629023561705	0.196554478589521	0.23919105693779	0.193496788949633	0.704340267330877	0.235844125186102	0.365243855407637	0.176404973039345	0.2434076759132	0.184680955884133	0.745904566441897	0.195441601653358	0.42251194701579	0.17440676190062
-0.333333333333333	0.633333333333333	0.4	1.30683643781118	0.548478515426574	0.460105458233798	0.41604540766047	0.309528713526931	0.807163261749285	0.783650110129178	0.445874670809613	0.394149034382663	0.702877990038638	0.207635672242052	0.71138716833815	0.433690583254859	0.425779921164454	0.362435872876833	0.72225024382748	0.225976584628058	0.637882606299372	0.415995163061132
