mean_fij	sd_fij	alpha	rs	R2_stitching	R2.identity_stitching	relError.mean_topbot10_stitching	relError.sd_topbot10_stitching	R2_topbot10_stitching	R2.identity_topbot10_stitching	R2_reg1	R2.identity_reg1	relError.mean_topbot10_reg1	relError.sd_topbot10_reg1	R2_topbot10_reg1	R2.identity_topbot10_reg1	R2_reg2	R2.identity_reg2	relError.mean_topbot10_reg2	relError.sd_topbot10_reg2	R2_topbot10_reg2	R2.identity_topbot10_reg2
-1	0.1	0	0.414816935490047	0.994921915486831	0.994708079365853	0.347534482216039	0.553447910211257	0.995271256338524	0.995257268992273	0.90238938724163	0.885055795755506	1.14697340722272	1.48974680558286	0.972378237778819	0.868205731245826	0.997688970995539	0.997580817676416	0.315417330928379	0.561369083501979	0.998959465012407	0.998245241568836
-0.666666666666667	0.1	0	0.391602886624443	0.995649399868527	0.995327143957741	0.457465088233643	0.808838656741125	0.996898061993283	0.996513142106149	0.921384565587917	0.907523480773531	1.03025746485888	1.27097613745001	0.977348857187645	0.896288878197281	0.997259418212715	0.997169824840797	0.189986400410988	0.326567290773542	0.999256010152412	0.998479018673439
-0.333333333333333	0.1	0	0.399408883008407	0.986800025910189	0.986244728583543	0.0617754832460518	0.0502957619882447	0.994179292685857	0.992370709277091	0.936735386886391	0.931624934559554	0.177428075568264	0.10956942621495	0.977992123376532	0.94453895263488	0.99767439645209	0.997547821811818	0.0254292180209768	0.0163027018066516	0.999319848113774	0.998947928939471
0	0.1	0	0.101239203991419	0.999239373877782	0.999236708952389	0.00619632582625321	0.00342818400413203	0.999960435945126	0.999959263157353	0.992346506242041	0.991397825137759	0.0358438886295574	0.0316724128535715	0.999646317837713	0.998036823574738	0.998277808497792	0.998098576390285	0.0241582063033135	0.0139319722827031	0.99959931193739	0.999304089899113
0.333333333333333	0.1	0	0.273854805098654	0.997827312680174	0.997682172821475	0.105026443766123	0.121168924619386	0.998940388949835	0.99874393617598	0.960830441536263	0.955683195598617	0.323378324577267	0.268548235031919	0.98392569333543	0.953342626158856	0.997837235431655	0.997645443414733	0.115719342543535	0.11144401116619	0.998874735685423	0.998352691365154
0.666666666666667	0.1	0	0.439037738830381	0.994312135725325	0.993765131779835	0.455707322063511	0.851565747959924	0.996967375455739	0.9955824914142	0.8998210561347	0.8845794749506	0.909552805924948	1.46453503197456	0.970818818998889	0.873971295583133	0.997861034346042	0.997596586961436	0.153410047373651	0.231305768726258	0.999528278776978	0.998462445991857
1	0.1	0	0.409232229238699	0.994610331059195	0.993975068511543	0.106472041504388	0.124596481597068	0.998135142078008	0.997203968452433	0.920468737541929	0.909871556440712	0.370880712900643	0.268513349562665	0.96948405353206	0.912032335033135	0.997808990312155	0.997671193842864	0.0697863843159974	0.0658056781141276	0.99925309508604	0.998734886268519
-1	0.233333333333333	0	0.285065525609853	0.997907236263085	0.997863887682537	0.0587328527853472	0.0504495838665226	0.998697100805919	0.998614191673386	0.949877063909188	0.939605104103631	0.56514507264499	0.567838014583066	0.989694976047091	0.931559344762828	0.99861128316886	0.99762226976267	0.26586440513593	0.325823277446688	0.999644768610177	0.997611310779603
-0.666666666666667	0.233333333333333	0	0.346818017924177	0.997458320698255	0.997198261375341	0.194964782302778	0.236877323311512	0.998714546363882	0.99820208385466	0.942562332361622	0.929505404431017	0.624697944419749	0.759454691674146	0.980587182095295	0.928957824637269	0.998170945478006	0.997658763303494	0.232396168564629	0.257390151393614	0.99899087223411	0.997361586153108
-0.333333333333333	0.233333333333333	0	0.348478017802698	0.987887116055388	0.987316175436527	0.0838291637518384	0.0701925489947442	0.994609873245135	0.992736591499617	0.933819482155611	0.927519119702065	0.230712594315362	0.179476088671896	0.961572820163713	0.943570141199771	0.997829448325069	0.997619956796667	0.0355078339601672	0.0266873578506619	0.998995019393334	0.998667250454816
